Gen	Pop	Mean	Max	Min
254	100   	-12.75	-8 	-13
255	100   	-12.55	-8 	-13
256	100   	-12.45	-8 	-13
257	100   	-12.8 	-8 	-13
258	100   	-12.65	-8 	-13
259	100   	-12.7 	-8 	-13
260	100   	-12.6 	-8 	-13
261	100   	-12.15	-3 	-13
262	100   	-12.8 	-8 	-13
263	100   	-12.5 	-3 	-13
264	100   	-12.6 	-3 	-13
265	100   	-12.25	-3 	-13
266	100   	-12.7 	-8 	-13
267	100   	-12.55	-8 	-13
268	100   	-12.55	-8 	-13
269	100   	-12.55	-3 	-13
270	100   	-12.4 	-3 	-13
271	100   	-12.75	-8 	-13
272	100   	-12.65	-8 	-13
273	100   	-12.65	-8 	-13
274	100   	-12.6 	-3 	-13
275	100   	-12.55	-3 	-13
276	100   	-12.35	-8 	-13
277	100   	-12.4 	-3 	-13
278	100   	-12.7 	-3 	-13
279	100   	-12.4 	-3 	-13
280	100   	-12.55	-3 	-13
281	100   	-12.4 	-3 	-13
282	100   	-12.7 	-8 	-13
283	100   	-12.65	-8 	-13
284	100   	-12.5 	-3 	-13
285	100   	-12.6 	-3 	-13
286	100   	-12.05	-3 	-13
287	100   	-12.35	-3 	-13
288	100   	-12.45	-3 	-13
289	100   	-12.8 	-8 	-13
290	100   	-12.6 	-8 	-13
291	100   	-12.4 	-3 	-13
292	100   	-12.7 	-8 	-13
293	100   	-12.55	-3 	-13
294	100   	-12.75	-8 	-13
295	100   	-12.5 	-3 	-13
296	100   	-12.35	-8 	-13
297	100   	-12.6 	-3 	-13
298	100   	-12.55	-3 	-13
299	100   	-12.55	-3 	-13
300	100   	-12.35	-8 	-13
301	100   	-12.75	-8 	-13
302	100   	-12.65	-8 	-13
303	100   	-12.55	-3 	-13
304	100   	-12.7 	-8 	-13
305	100   	-12.6 	-8 	-13
306	100   	-12.4 	-3 	-13
307	100   	-12.6 	-8 	-13
308	100   	-12.55	-3 	-13
309	100   	-12.5 	-3 	-13
310	100   	-12.45	-8 	-13
311	100   	-12.25	-3 	-13
312	100   	-12.65	-8 	-13
313	100   	-12.6 	-3 	-13
314	100   	-12.55	-8 	-13
315	100   	-12.45	-8 	-13
316	100   	-12.45	-3 	-13
317	100   	-12.5 	-8 	-13
318	100   	-12.75	-8 	-13
319	100   	-12.65	-8 	-13
320	100   	-12.6 	-8 	-13
321	100   	-12.55	-3 	-13
322	100   	-12.35	-8 	-13
323	100   	-12.5 	-8 	-13
324	100   	-12.6 	-8 	-13
325	100   	-12.3 	-3 	-13
326	100   	-12.65	-3 	-13
327	100   	-12.6 	-3 	-13
328	100   	-12.55	-8 	-13
329	100   	-12.45	-8 	-13
330	100   	-12.5 	-3 	-13
331	100   	-12.6 	-3 	-13
332	100   	-12.5 	-3 	-13
333	100   	-12.8 	-8 	-13
334	100   	-12.6 	-8 	-13
335	100   	-12.25	-3 	-13
336	100   	-12.6 	-8 	-13
337	100   	-12.1 	-3 	-13
338	100   	-12.45	-3 	-13
339	100   	-12.4 	-3 	-13
340	100   	-12.6 	-3 	-13
341	100   	-12.45	-8 	-13
342	100   	-12.08	39 	-13
343	100   	-12.1 	-3 	-13
344	100   	-12.55	-8 	-13
345	100   	-12.7 	-8 	-13
346	100   	-12.6 	-8 	-13
347	100   	-12.85	-3 	-13
348	100   	-12.7 	-8 	-13
349	100   	-12.65	-8 	-13
350	100   	-12.3 	-3 	-13
351	100   	-12.75	-8 	-13
352	100   	-12.35	-8 	-13
353	100   	-12.6 	-3 	-13
354	100   	-12.15	-3 	-13
355	100   	-12.35	-3 	-13
356	100   	-12.75	-8 	-13
357	100   	-12.5 	-8 	-13
358	100   	-12.65	-8 	-13
359	100   	-12.25	-3 	-13
360	100   	-12.65	-8 	-13
361	100   	-12.3 	-3 	-13
362	100   	-12.55	-8 	-13
363	100   	-12.5 	-3 	-13
364	100   	-12.6 	-8 	-13
365	100   	-12.5 	-8 	-13
366	100   	-12.7 	-8 	-13
367	100   	-12.7 	-3 	-13
368	100   	-12.45	-3 	-13
369	100   	-12.3 	-8 	-13
370	100   	-12.6 	-8 	-13
371	100   	-12.2 	-3 	-13
372	100   	-12.75	-8 	-13
373	100   	-12.65	-8 	-13
374	100   	-12.5 	-8 	-13
375	100   	-12.5 	-3 	-13
376	100   	-12.65	-3 	-13
377	100   	-12.45	-8 	-13
378	100   	-12.45	-3 	-13
379	100   	-12.5 	-8 	-13
380	100   	-12.6 	-8 	-13
381	100   	-12.7 	-3 	-13
382	100   	-12.6 	-8 	-13
383	100   	-12.15	-3 	-13
384	100   	-12.55	-3 	-13
385	100   	-12.45	-3 	-13
386	100   	-12.45	-3 	-13
387	100   	-12.55	-3 	-13
388	100   	-12.3 	-3 	-13
389	100   	-12.45	-3 	-13
390	100   	-12.45	-3 	-13
391	100   	-12.5 	-8 	-13
392	100   	-12.55	-3 	-13
393	100   	-12.35	-8 	-13
394	100   	-12.65	-8 	-13
395	100   	-12.6 	-8 	-13
396	100   	-12.6 	-8 	-13
397	100   	-12.5 	-3 	-13
398	100   	-12.55	-3 	-13
399	100   	-12.3 	-8 	-13
400	100   	-12.5 	-8 	-13
401	100   	-12.45	-3 	-13
402	100   	-12.55	-8 	-13
403	100   	-12.6 	-3 	-13
404	100   	-12.5 	-8 	-13
405	100   	-12.45	-8 	-13
406	100   	-12.55	-3 	-13
407	100   	-12.3 	-3 	-13
408	100   	-12.5 	-8 	-13
409	100   	-12.7 	-3 	-13
410	100   	-12.65	-8 	-13
411	100   	-12.5 	-3 	-13
412	100   	-12.7 	-8 	-13
413	100   	-12.4 	-8 	-13
414	100   	-12.45	-8 	-13
415	100   	-12.55	-8 	-13
416	100   	-12.55	-3 	-13
417	100   	-12.5 	-8 	-13
418	100   	-12.65	-8 	-13
419	100   	-12.5 	-3 	-13
420	100   	-12.45	-3 	-13
421	100   	-12.8 	-8 	-13
422	100   	-12.4 	-8 	-13
423	100   	-12.75	-3 	-13
424	100   	-12.45	-3 	-13
425	100   	-12.5 	-8 	-13
426	100   	-12.75	-8 	-13
427	100   	-12.45	-3 	-13
428	100   	-12.6 	-3 	-13
429	100   	-12.65	-8 	-13
430	100   	-12.35	-3 	-13
431	100   	-12.6 	-8 	-13
432	100   	-12.45	-3 	-13
433	100   	-12.5 	-8 	-13
434	100   	-12.5 	-3 	-13
435	100   	-12.7 	-8 	-13
436	100   	-12.6 	-8 	-13
437	100   	-12.5 	-3 	-13
438	100   	-12.35	-3 	-13
439	100   	-12.3 	-3 	-13
440	100   	-12.6 	-8 	-13
441	100   	-12.5 	-3 	-13
442	100   	-12.35	-3 	-13
443	100   	-12.75	-8 	-13
444	100   	-12.8 	-8 	-13
445	100   	-12.55	-8 	-13
446	100   	-12.7 	-8 	-13
447	100   	-12.8 	-8 	-13
448	100   	-12.6 	-3 	-13
449	100   	-12.6 	-3 	-13
450	100   	-12.55	-8 	-13
451	100   	-12.5 	-3 	-13
452	100   	-11.88	34 	-13
453	100   	-12.55	-8 	-13
454	100   	-12.85	-8 	-13
455	100   	-12.1 	-3 	-13
456	100   	-12.4 	-8 	-13
457	100   	-12.7 	-8 	-13
458	100   	-12.45	-8 	-13
459	100   	-12.45	-3 	-13
460	100   	-12.25	-3 	-13
461	100   	-12.45	-8 	-13
462	100   	-12.65	-8 	-13
463	100   	-12.65	-8 	-13
464	100   	-12.45	-3 	-13
465	100   	-12.5 	-8 	-13
466	100   	-12.65	-8 	-13
467	100   	-12.4 	-3 	-13
468	100   	-12.55	-8 	-13
469	100   	-12.7 	-8 	-13
470	100   	-12.65	-3 	-13
471	100   	-12.75	-3 	-13
472	100   	-12.5 	-8 	-13
473	100   	-12.5 	-3 	-13
474	100   	-12.45	-3 	-13
475	100   	-12.08	34 	-13
476	100   	-12.65	-8 	-13
477	100   	-12.45	-8 	-13
478	100   	-12.5 	-8 	-13
479	100   	-12.55	-8 	-13
480	100   	-12.3 	-3 	-13
481	100   	-12.75	-3 	-13
482	100   	-12.4 	-8 	-13
483	100   	-12.5 	-8 	-13
484	100   	-12.5 	-3 	-13
485	100   	-12.65	-8 	-13
486	100   	-12.4 	-8 	-13
487	100   	-12.5 	-8 	-13
488	100   	-12.55	-3 	-13
489	100   	-12.65	-8 	-13
490	100   	-12.45	-3 	-13
491	100   	-12.4 	-3 	-13
492	100   	-12.7 	-8 	-13
493	100   	-12.55	-8 	-13
494	100   	-12.45	-3 	-13
495	100   	-12.6 	-8 	-13
496	100   	-12.35	-8 	-13
497	100   	-12.5 	-8 	-13
498	100   	-11.83	39 	-13
499	100   	-12.35	-8 	-13
500	100   	-12.65	-3 	-13
501	100   	-12.55	-3 	-13
502	100   	-12.7 	-3 	-13
503	100   	-12.5 	-8 	-13
504	100   	-12.45	-3 	-13
505	100   	-12.25	-3 	-13
506	100   	-12.75	-8 	-13
507	100   	-12.6 	-3 	-13
508	100   	-12.13	39 	-13
509	100   	-12.55	-8 	-13
510	100   	-12.7 	-8 	-13
511	100   	-12.6 	-8 	-13
512	100   	-12.75	-8 	-13
513	100   	-12.75	-8 	-13
514	100   	-12.65	-8 	-13
515	100   	-12.5 	-3 	-13
516	100   	-12.6 	-8 	-13
517	100   	-12.5 	-3 	-13
518	100   	-12.6 	-8 	-13
519	100   	-12.45	-8 	-13
520	100   	-12.6 	-8 	-13
521	100   	-12.55	-8 	-13
522	100   	-12.35	-8 	-13
523	100   	-12.5 	-3 	-13
524	100   	-12.7 	-8 	-13
525	100   	-12.8 	-3 	-13
526	100   	-12.6 	-8 	-13
527	100   	-12.35	-8 	-13
528	100   	-12.45	-8 	-13
529	100   	-12.65	-8 	-13
530	100   	-12.65	-8 	-13
531	100   	-12.5 	-3 	-13
532	100   	-12.55	-8 	-13
533	100   	-12.5 	-8 	-13
534	100   	-12.8 	-8 	-13
535	100   	-12.5 	-3 	-13
536	100   	-12.55	-8 	-13
537	100   	-12.55	-3 	-13
538	100   	-12.45	-3 	-13
539	100   	-12.35	-3 	-13
540	100   	-12.5 	-3 	-13
541	100   	-12.6 	-8 	-13
542	100   	-12.55	-3 	-13
543	100   	-12.75	-8 	-13
544	100   	-12.4 	-8 	-13
545	100   	-12.75	-8 	-13
546	100   	-12.45	-3 	-13
547	100   	-12.7 	-8 	-13
548	100   	-12.5 	-3 	-13
549	100   	-12.55	-8 	-13
550	100   	-12.45	-3 	-13
551	100   	-12.5 	-8 	-13
552	100   	-12.4 	-8 	-13
553	100   	-12.4 	-8 	-13
554	100   	-12.65	-8 	-13
555	100   	-12.7 	-8 	-13
556	100   	-12.75	-8 	-13
557	100   	-12.3 	-3 	-13
558	100   	-12.55	-8 	-13
559	100   	-12.3 	-3 	-13
560	100   	-12.45	-3 	-13
561	100   	-12.6 	-3 	-13
562	100   	-12.55	-3 	-13
563	100   	-12.4 	-3 	-13
564	100   	-12.5 	-8 	-13
565	100   	-12.65	-8 	-13
566	100   	-12.4 	-3 	-13
567	100   	-12.45	-8 	-13
568	100   	-12.5 	-3 	-13
569	100   	-12.55	-8 	-13
570	100   	-12.75	-8 	-13
571	100   	-12.45	-3 	-13
572	100   	-12.45	-3 	-13
573	100   	-12.6 	-8 	-13
574	100   	-12.3 	-3 	-13
575	100   	-12.5 	-3 	-13
576	100   	-12.7 	-8 	-13
577	100   	-12.45	-3 	-13
578	100   	-12.5 	-8 	-13
579	100   	-12.65	-8 	-13
580	100   	-12.35	-3 	-13
581	100   	-12.75	-8 	-13
582	100   	-12.4 	-3 	-13
583	100   	-12.65	-3 	-13
584	100   	-12.65	-8 	-13
585	100   	-12.65	-8 	-13
586	100   	-12.3 	-3 	-13
587	100   	-12.6 	-3 	-13
588	100   	-12.7 	-8 	-13
589	100   	-12.03	39 	-13
590	100   	-12.18	34 	-13
591	100   	-12.55	-8 	-13
592	100   	-12.45	-8 	-13
593	100   	-12.55	-3 	-13
594	100   	-12.3 	-3 	-13
595	100   	-12.55	-8 	-13
596	100   	-12.3 	-8 	-13
597	100   	-12.5 	-8 	-13
598	100   	-12.6 	-8 	-13
599	100   	-12.55	-3 	-13
600	100   	-12.8 	-8 	-13
601	100   	-12.55	-3 	-13
602	100   	-12.45	-8 	-13
603	100   	-12.65	-8 	-13
604	100   	-12.4 	-8 	-13
605	100   	-12.45	-3 	-13
606	100   	-12.35	-3 	-13
607	100   	-12.25	-3 	-13
608	100   	-12.4 	-3 	-13
609	100   	-12.3 	-8 	-13
610	100   	-12.7 	-8 	-13
611	100   	-12.5 	-3 	-13
612	100   	-12.4 	-3 	-13
613	100   	-12.6 	-3 	-13
614	100   	-12.45	-3 	-13
615	100   	-12.4 	-3 	-13
616	100   	-11.88	39 	-13
617	100   	-12.45	-8 	-13
618	100   	-11.83	39 	-13
619	100   	-12.55	-8 	-13
620	100   	-12.85	-8 	-13
621	100   	-12.7 	-8 	-13
622	100   	-12.35	-3 	-13
623	100   	-12.25	-3 	-13
624	100   	-12.45	-3 	-13
625	100   	-12.5 	-8 	-13
626	100   	-12.2 	-3 	-13
627	100   	-11.88	34 	-13
628	100   	-12.65	-8 	-13
629	100   	-12.15	-3 	-13
630	100   	-12.65	-8 	-13
631	100   	-12.2 	-3 	-13
632	100   	-12.03	34 	-13
633	100   	-12.4 	-8 	-13
634	100   	-12.45	-8 	-13
635	100   	-12.5 	-3 	-13
636	100   	-12.6 	-3 	-13
637	100   	-12.65	-8 	-13
638	100   	-12.55	-8 	-13
639	100   	-12.4 	-8 	-13
640	100   	-12.5 	-3 	-13
641	100   	-12.65	-8 	-13
642	100   	-12.65	-8 	-13
643	100   	-12.75	-8 	-13
644	100   	-12.5 	-8 	-13
645	100   	-12.4 	-3 	-13
646	100   	-12.65	-3 	-13
647	100   	-12.7 	-8 	-13
648	100   	-12.4 	-8 	-13
649	100   	-12.65	-8 	-13
650	100   	-12.7 	-8 	-13
651	100   	-12.5 	-3 	-13
652	100   	-12.3 	-8 	-13
653	100   	-12.45	-3 	-13
654	100   	-12.7 	-3 	-13
655	100   	-12.75	-8 	-13
656	100   	-12.65	-8 	-13
657	100   	-12.8 	-8 	-13
658	100   	-12.55	-3 	-13
659	100   	-12.55	-8 	-13
660	100   	-12.65	-8 	-13
661	100   	-12.5 	-3 	-13
662	100   	-12.1 	-3 	-13
663	100   	-12.5 	-8 	-13
664	100   	-12.4 	-8 	-13
665	100   	-12.6 	-3 	-13
666	100   	-12.65	-3 	-13
667	100   	-12.4 	-3 	-13
668	100   	-12.55	-8 	-13
669	100   	-12.45	-3 	-13
670	100   	-12.55	-8 	-13
671	100   	-12.3 	-3 	-13
672	100   	-12.45	-8 	-13
673	100   	-12.6 	-3 	-13
674	100   	-12.6 	-3 	-13
675	100   	-12.65	-8 	-13
676	100   	-12.5 	-3 	-13
677	100   	-12.65	-3 	-13
678	100   	-12.5 	-3 	-13
679	100   	-11.83	39 	-13
680	100   	-12.65	-3 	-13
681	100   	-12.6 	-3 	-13
682	100   	-12.35	-3 	-13
683	100   	-12.8 	-8 	-13
684	100   	-12.55	-8 	-13
685	100   	-12.75	-8 	-13
686	100   	-12.13	39 	-13
687	100   	-12.6 	-3 	-13
688	100   	-12.55	-8 	-13
689	100   	-12.5 	-8 	-13
690	100   	-12   	-3 	-13
691	100   	-12.35	-3 	-13
692	100   	-12.25	-8 	-13
693	100   	-12.35	-3 	-13
694	100   	-12.13	39 	-13
695	100   	-12.5 	-3 	-13
696	100   	-12.55	-3 	-13
697	100   	-12.35	-8 	-13
698	100   	-12.65	-3 	-13
699	100   	-12.6 	-8 	-13
700	100   	-12.4 	-3 	-13
701	100   	-12.5 	-3 	-13
702	100   	-12.45	-3 	-13
703	100   	-12.7 	-8 	-13
704	100   	-12.6 	-3 	-13
705	100   	-12.2 	-3 	-13
706	100   	-12.5 	-8 	-13
707	100   	-12.65	-3 	-13
708	100   	-12.4 	-3 	-13
709	100   	-12.35	-3 	-13
710	100   	-12.4 	-8 	-13
711	100   	-12.65	-3 	-13
712	100   	-12.5 	-3 	-13
713	100   	-12.6 	-8 	-13
714	100   	-12.6 	-8 	-13
715	100   	-12.55	-8 	-13
716	100   	-12.55	-3 	-13
717	100   	-12.13	39 	-13
718	100   	-12.3 	-3 	-13
719	100   	-12.65	-3 	-13
720	100   	-12.3 	-3 	-13
721	100   	-12.85	-3 	-13
722	100   	-12.5 	-3 	-13
723	100   	-12.4 	-3 	-13
724	100   	-12.45	-3 	-13
725	100   	-12.55	-3 	-13
726	100   	-12.7 	-8 	-13
727	100   	-12.2 	-3 	-13
728	100   	-12.2 	-3 	-13
729	100   	-12.7 	-8 	-13
730	100   	-12.15	-8 	-13
731	100   	-12.5 	-8 	-13
732	100   	-12.6 	-8 	-13
733	100   	-12.4 	-3 	-13
734	100   	-12.5 	-3 	-13
735	100   	-12.55	-3 	-13
736	100   	-12.45	-8 	-13
737	100   	-12.75	-8 	-13
738	100   	-12.55	-8 	-13
739	100   	-12.55	-8 	-13
740	100   	-12.35	-3 	-13
741	100   	-12.7 	-8 	-13
742	100   	-12.5 	-8 	-13
743	100   	-12.65	-8 	-13
744	100   	-12.5 	-3 	-13
745	100   	-12.65	-8 	-13
746	100   	-12.8 	-8 	-13
747	100   	-12.65	-3 	-13
748	100   	-12.45	-3 	-13
749	100   	-12.7 	-8 	-13
750	100   	-12.5 	-3 	-13
751	100   	-12.65	-8 	-13
752	100   	-12.6 	-8 	-13
753	100   	-12.75	-8 	-13
754	100   	-12.7 	-3 	-13
755	100   	-12.6 	-8 	-13
756	100   	-12.08	34 	-13
757	100   	-12.7 	-8 	-13
758	100   	-12.2 	-3 	-13
759	100   	-12.7 	-8 	-13
760	100   	-12.45	-8 	-13
761	100   	-12.6 	-3 	-13
762	100   	-12.5 	-3 	-13
763	100   	-12.5 	-8 	-13
764	100   	-12.55	-8 	-13
765	100   	-12.65	-8 	-13
766	100   	-12.75	-3 	-13
767	100   	-12.55	-3 	-13
768	100   	-12.45	-8 	-13
769	100   	-12.7 	-3 	-13
770	100   	-12.25	-3 	-13
771	100   	-12.3 	-8 	-13
772	100   	-12.65	-8 	-13
773	100   	-12.45	-3 	-13
774	100   	-12.6 	-8 	-13
775	100   	-12.7 	-8 	-13
776	100   	-12.45	-3 	-13
777	100   	-12.5 	-8 	-13
778	100   	-12.6 	-8 	-13
779	100   	-12.75	-8 	-13
780	100   	-12.35	-3 	-13
781	100   	-12.45	-3 	-13
782	100   	-12.5 	-8 	-13
783	100   	-12.5 	-3 	-13
784	100   	-12.65	-3 	-13
785	100   	-12.45	-3 	-13
786	100   	-12.5 	-8 	-13
787	100   	-12.5 	-3 	-13
788	100   	-12.7 	-8 	-13
789	100   	-12.45	-8 	-13
790	100   	-12.3 	-3 	-13
791	100   	-12.6 	-3 	-13
792	100   	-12.35	-3 	-13
793	100   	-12.3 	-3 	-13
